ticker,logoid,name,postmarket_close,postmarket_change_abs,postmarket_change,postmarket_volume,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
NASDAQ:LRHC,la-rosa,LRHC,0.1148,-0.035199999999999995,-23.466666666666665,13134023,0.15,87.26591760299624,648572736,8747690.0,-64.4648491561699,La Rosa Holdings Corp.,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
NASDAQ:NVDA,nvidia,NVDA,159.25,-0.09000000000000341,-0.05648299234341873,11180566,159.34,1.3290937996820371,143715042,3887895910645.0,12.728525087134225,NVIDIA Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:CGTX,cognition-therapeutics,CGTX,0.454,0.04899999999999999,12.09876543209876,10121325,0.405,20.82338902147972,14388692,25107184.0,-79.2300756397825,"Cognition Therapeutics, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
NASDAQ:LCID,lucid-group,LCID,2.16,0.0,0.0,9873729,2.16,5.365853658536601,211394699,6588566102.0,16.28028930805796,"Lucid Group, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:INHD,inno,INHD,1.81,0.6300000000000001,53.38983050847459,9308848,1.18,-19.178082191780824,10682817,7491208.999999999,,Inno Holdings Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:YAAS,youxin-technology-ltd,YAAS,0.5,0.044999999999999984,9.890109890109887,8888407,0.455,0.13204225352112442,14990912,15265249.999999998,,Youxin Technology Ltd,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
NASDAQ:OTRK,ontrak,OTRK,0.4755,-0.024300000000000044,-4.861944777911173,8430258,0.4998,3.478260869565225,9844195,3540852.0,-45.51160228979986,"Ontrak, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
NASDAQ:HCTI,healthcare-triangle,HCTI,0.0256,0.0,0.0,8413642,0.0256,2.8112449799196897,145603578,10456207.0,293.0037926472357,"Healthcare Triangle, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
NYSE:WOLF,wolfspeed,WOLF,1.16,-0.020000000000000018,-1.6949152542372898,5932092,1.18,52.63225973354029,209762136,183639526.0,-95.28179142227708,"Wolfspeed, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:GVH,globavend-limited-ord-shares,GVH,0.0773,0.0016999999999999932,2.2486772486772395,4942897,0.0756,-7.80487804878049,48728188,1132405.0,70.1552529718047,Globavend Holdings Limited - Ord Shares,stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
